baseTick,quoteTick,bestAsk,bestAskSize,bestBid,bestBidSize,price,sequence,size,time
BCH,USDC,292.58,0.74,292.07,0.74,291.65,1613707188615.0,0.0008,2022-03-11 23:33:04.225
BCH,USDT,292.05,2.5,292.0,5.9787,292.03,1615133688959.0,0.4407,2022-03-12 00:28:45.818
BCH,BTC,0.007469,2.1859,0.007467,0.001,0.007465,1613553904853.0,0.004,2022-03-12 00:28:45.806
BCHSV,BTC,0.002013,11.36809468,0.002011,0.02809467,0.002013,1613671761201.0,0.00290874,2022-03-10 19:27:00.696
BCHSV,KCS,4.331,2.296,4.305,13.0582,4.331,1615547231873.0,0.0281,2022-03-12 00:26:36.362
BCHSV,ETH,0.03033,4.70648653,0.03028,4.5128,0.03034,1613779097607.0,0.0281,2022-03-12 00:26:36.396
BCHSV,USDT,78.606,1.8,78.559,4.5128,78.552,1614182603836.0,2.35e-06,2022-03-11 23:33:04.224
BEPRO,USDT,0.00281356,28000.0,0.00280401,36440.8573,0.00281353,1617997401957.0,90.1935,2022-03-10 19:25:56.934
BNB,BTC,0.0095139,1.7872,0.0095092,0.0552,0.0095093,1645557373895.0,0.203,2022-03-12 00:04:01.178
BNB,KCS,20.4779,0.0693,20.4701,0.2872,20.4701,1615258163112.0,0.094,2022-03-12 00:04:01.163
BNB,USDT,373.823,0.0641,373.762,1.2417,373.909,1616992784159.0,1.1897,2022-03-12 00:27:41.129
BNB3S,USDT,5.4343,54.1916,5.4051,0.7895,5.4174,1634723713253.0,30.6146,2022-03-12 00:30:58.424
BNT,BTC,5.558e-05,0.1513,5.538e-05,385.6289,5.538e-05,1631098488859.0,0.309,2022-03-12 00:29:51.562
BOSON,USDT,0.7737,95.6573,0.7712,753.6053,0.7737,1618039627004.0,0.1427,2022-03-11 23:32:00.942
BOSON,ETH,0.0002991,684.8206,0.0002989,59.0471,0.0002989,1618017677790.0,0.858,2022-03-11 23:32:00.940
BTC,USDC,39159.7,0.21979983,39136.4,0.20714171,39139.5,1614221854488.0,0.00688611,2022-03-12 00:32:07.401
BTC,UST,39011.9,0.017,38961.2,0.017,38981.0,1613494425320.0,0.010729,2022-03-12 00:32:07.405
BTC,USDT,39154.8,0.08925053,39154.7,0.05169,39154.8,1626836928336.0,5.256e-05,2022-03-12 00:32:07.375
BTC,TUSD,39383.6,0.06349828,39362.5,0.063497,39361.4,1613331399696.0,0.02169945,2022-03-10 19:27:00.696
