baseTick,quoteTick,bestAsk,bestAskSize,bestBid,bestBidSize,price,sequence,size,time
CELO,USDT,2.8065,91.0,2.8037,70.4879,2.8044,1621166697918.0,22.6,2022-04-27 19:44:25.034
CFX,USDT,0.1586,2719.9721,0.1585,247.8561,0.1586,1648793606878.0,7.542,2022-04-27 19:42:10.141
CHR,USDT,0.437797,620.0,0.437285,620.0,0.437528,1613459257844.0,366.407,2022-04-19 22:22:25.425
CHZ,USDT,0.20574,1400.0,0.20554,8167.5437,0.20554,1616664120945.0,3.7385,2022-04-27 19:37:33.265
CHZ,BTC,5.5495e-06,1400.0,5.5306e-06,3059.2923,5.5478e-06,1613117568634.0,1.0176,2022-04-19 21:11:46.656
CIRUS,ETH,6.76e-05,0.0001,6.642e-05,141.7256,6.67e-05,1638881742310.0,576.0108,2022-04-19 21:11:46.636
CIRUS,USDT,0.20855,9.0343,0.2076,300.0,0.20793,1638432378496.0,2337.3251,2022-04-19 22:27:02.726
CIX100,USDT,0.06519,569.2508,0.06515,190.3318,0.06518,1612786534455.0,489.3339,2022-04-19 22:13:57.279
CKB,USDT,0.010018,32307.1938,0.010009,38.8449,0.009998,1612851675166.0,2557.6135,2022-04-27 19:38:48.610
CLH,USDT,0.03236,1873.0,0.03228,7500.0,0.03227,1641606856377.0,37346.6068,2022-04-27 19:42:10.138
CLV,USDT,0.3045,1701.14207964,0.3038,1716.6598,0.3045,1646895801190.0,28.81642036,2022-04-27 19:24:34.901
COV,BTC,7.5e-06,2311.2497,7.43e-06,88.6382,7.51e-06,1612786781712.0,14.67110519,2022-04-27 19:42:10.156
COV,USDT,0.2989,810.9663,0.29,10.5579,0.2982,1637109229821.0,14.48558014,2022-04-27 19:42:10.144
CPOOL,USDT,0.1609,249.8003,0.1603,1589.9012,0.1607,1635432433159.0,3167.5553,2022-04-19 21:11:46.557
CQT,USDT,0.3246,825.0128,0.3242,66.2597,0.3245,1629142503331.0,0.6969,2022-04-19 22:22:25.426
CRO,USDT,0.4159,242.3021,0.4158,3487.2816,0.4158,1650332253760.0,52.238,2022-04-19 22:13:57.255
CRO,BTC,9.95e-06,10415.5851,9.93e-06,34.3444,9.94e-06,1615383877372.0,10.7847,2022-04-27 19:41:03.826
CRPT,ETH,0.00014935,45.3219,0.00014776,51.5178,0.00014935,1612813645545.0,3.4997,2022-04-19 21:11:46.696
CRV,USDT,2.489,343.7694,2.488,147.3175,2.488,1613310932827.0,25.5248,2022-04-27 19:42:10.136
CSP,ETH,1.54e-06,1489.4814,1.48e-06,216821.423,1.49e-06,1612790338320.0,206.8547,2022-04-27 19:21:01.096
