a,b,c,ba_bstb,ba_bsta,ba_bstbsize,ba_bstasize,bc_bstb,bc_bsta,bc_bstbsize,bc_bstasize,ca_bstb,ca_bsta,ca_bstbsize,ca_bstasize,fwd_arb,rev_arb
USDT,MATIC,BTC,1.4449,1.445,61.8024,3515.6365,3.206e-05,3.208e-05,0.2853,50.8954,39213.5,39213.6,1.96663283,1.55726575,14.744701232762303,
USDT,MTV,BTC,0.0039215,0.0039355,31041.1578,8863.0,9.4e-08,9.6e-08,42441.7477,28752.5071,39213.5,39213.6,1.96663283,1.55726575,4.066319295219456,
USDT,MTV,ETH,0.0039215,0.0039355,31041.1578,8863.0,1.26e-06,1.28e-06,28338.8281,24583.1988,2886.24,2886.25,9.4623838,21.0908848,6.041100519229592,
USDT,NEAR,BTC,12.8853,12.8862,38.3933,87.682,0.0004197,0.00042,3.658,0.7821,39213.5,39213.6,1.96663283,1.55726575,,27.845011376123296
USDT,NEO,KCS,21.9778,21.9917,0.030986,12.0,1.047,1.049,12.904809,0.109342,20.856,20.857,25.2437,70.6339,0.35125545240661804,
USDT,NEO,BTC,21.9778,21.9917,0.030986,12.0,0.0004843,0.0004845,0.063686,0.046832,39213.5,39213.6,1.96663283,1.55726575,15.563222467878246,
USDT,NEO,ETH,21.9778,21.9917,0.030986,12.0,0.006573,0.006581,0.103202,0.0855,2886.24,2886.25,9.4623838,21.0908848,15.591075010783273,
USDT,NGL,BTC,0.586,0.594,5.7536,5.7536,1.801e-05,1.834e-05,20.0,9.393,39213.5,39213.6,1.96663283,1.55726575,,19.013698675925905
USDT,OGN,BTC,0.5348,0.5354,781.2695,6348.2032,1.583e-05,1.588e-05,116.5128,734.3379,39213.5,39213.6,1.96663283,1.55726575,,16.057238458162114
USDT,ONE,BTC,0.102298,0.102398,2402.0,2402.0,3.03e-06,3.05e-06,81954.7042,43985.3155,39213.5,39213.6,1.96663283,1.55726575,,16.150434486025112
